Entity,Year,Annual CO₂ emissions (per capita)
China,1960,1.2199106
China,1961,0.8701637
China,1962,0.6910785
China,1963,0.66726714
China,1964,0.65357304
China,1965,0.6915614
China,1966,0.74011
China,1967,0.604744
China,1968,0.6344425
China,1969,0.75757736
China,1970,0.9813481
China,1971,1.0771736
China,1972,1.1215359
China,1973,1.1424416
China,1974,1.141943
China,1975,1.2915548
China,1976,1.3182049
China,1977,1.4210548
China,1978,1.5612195
China,1979,1.5740019
China,1980,1.5200889
China,1981,1.4798604
China,1982,1.5850471
China,1983,1.6463654
China,1984,1.7673312
China,1985,1.8853258
China,1986,1.9533492
China,1987,2.059572
China,1988,2.175213
China,1989,2.172552
China,1990,2.1540327
China,1991,2.2259326
China,1992,2.3052905
China,1993,2.4401822
China,1994,2.5671887
China,1995,2.755138
China,1996,2.8505082
China,1997,2.8325536
China,1998,2.6898472
China,1999,2.822838
China,2000,2.8743548
China,2001,2.9158025
China,2002,3.1884003
China,2003,3.7397096
China,2004,4.0068736
China,2005,4.4900646
China,2006,4.9272113
China,2007,5.267368
China,2008,5.6240664
China,2009,5.877799
China,2010,6.3782344
China,2011,7.0077763
China,2012,7.140667
China,2013,7.2199216
China,2014,7.1978407
China,2015,7.0648346
China,2016,6.9532394
China,2017,7.084865
China,2018,7.2818375
China,2019,7.5264006
China,2020,7.6471825
China,2021,8.025529
China,2022,7.964287
China,2023,8.366814
India,1960,0.25533837
India,1961,0.26962337
India,1962,0.2899332
India,1963,0.30427778
India,1964,0.29106775
India,1965,0.31358775
India,1966,0.3182756
India,1967,0.31187224
India,1968,0.33300883
India,1969,0.33230913
India,1970,0.33290812
India,1971,0.34396154
India,1972,0.35590246
India,1973,0.3583674
India,1974,0.36153808
India,1975,0.3831269
India,1976,0.39105976
India,1977,0.40412188
India,1978,0.40130892
India,1979,0.41165522
India,1980,0.4243972
India,1981,0.4475883
India,1982,0.45172003
India,1983,0.47764024
India,1984,0.47896573
India,1985,0.5145839
India,1986,0.53916126
India,1987,0.56289464
India,1988,0.5943027
India,1989,0.6390376
India,1990,0.668225
India,1991,0.6961713
India,1992,0.7258895
India,1993,0.7345036
India,1994,0.758703
India,1995,0.79189926
India,1996,0.84070516
India,1997,0.8587551
India,1998,0.85972553
India,1999,0.92538923
India,2000,0.9324355
India,2001,0.9282198
India,2002,0.9403603
India,2003,0.95606565
India,2004,0.99809515
India,2005,1.0345691
India,2006,1.1019763
India,2007,1.1695088
India,2008,1.2330486
India,2009,1.3155315
India,2010,1.348904
India,2011,1.3992052
India,2012,1.5060126
India,2013,1.5396302
India,2014,1.6371114
India,2015,1.6823633
India,2016,1.7520504
India,2017,1.7847193
India,2018,1.886328
India,2019,1.8810879
India,2020,1.7264521
India,2021,1.8909733
India,2022,1.9861935
India,2023,2.129469
United Kingdom,1960,11.116041
United Kingdom,1961,11.13011
United Kingdom,1962,11.130102
United Kingdom,1963,11.2460985
United Kingdom,1964,11.254884
United Kingdom,1965,11.444505
United Kingdom,1966,11.304253
United Kingdom,1967,10.769838
United Kingdom,1968,10.979031
United Kingdom,1969,11.331161
United Kingdom,1970,11.723561
United Kingdom,1971,11.815786
United Kingdom,1972,11.555557
United Kingdom,1973,11.7386
United Kingdom,1974,10.977131
United Kingdom,1975,10.730099
United Kingdom,1976,10.649721
United Kingdom,1977,10.758404
United Kingdom,1978,10.764718
United Kingdom,1979,11.464381
United Kingdom,1980,10.2881
United Kingdom,1981,9.95576
United Kingdom,1982,9.739101
United Kingdom,1983,9.683395
United Kingdom,1984,9.372831
United Kingdom,1985,9.886296
United Kingdom,1986,10.01824
United Kingdom,1987,10.049357
United Kingdom,1988,10.0005045
United Kingdom,1989,10.170599
United Kingdom,1990,10.492731
United Kingdom,1991,10.588326
United Kingdom,1992,10.288531
United Kingdom,1993,10.017328
United Kingdom,1994,9.896306
United Kingdom,1995,9.735415
United Kingdom,1996,10.064763
United Kingdom,1997,9.627659
United Kingdom,1998,9.6976795
United Kingdom,1999,9.545594
United Kingdom,2000,9.635284
United Kingdom,2001,9.748516
United Kingdom,2002,9.409919
United Kingdom,2003,9.5555935
United Kingdom,2004,9.530174
United Kingdom,2005,9.412137
United Kingdom,2006,9.301161
United Kingdom,2007,9.093347
United Kingdom,2008,8.785372
United Kingdom,2009,7.904943
United Kingdom,2010,8.12464
United Kingdom,2011,7.395984
United Kingdom,2012,7.6215353
United Kingdom,2013,7.417552
United Kingdom,2014,6.764838
United Kingdom,2015,6.461417
United Kingdom,2016,6.0617714
United Kingdom,2017,5.8378496
United Kingdom,2018,5.6886287
United Kingdom,2019,5.4350815
United Kingdom,2020,4.844164
United Kingdom,2021,5.0911255
United Kingdom,2022,4.603082
United Kingdom,2023,4.4428277
United States,1960,16.071686
United States,1961,15.733183
United States,1962,16.033815
United States,1963,16.470354
United States,1964,16.929384
United States,1965,17.375324
United States,1966,18.01334
United States,1967,18.462698
United States,1968,18.919764
United States,1969,19.654873
United States,1970,20.884329
United States,1971,20.745808
United States,1972,21.485437
United States,1973,22.25716
United States,1974,21.289364
United States,1975,20.437998
United States,1976,21.468279
United States,1977,21.902567
United States,1978,21.924557
United States,1979,22.010126
United States,1980,20.921024
United States,1981,20.183943
United States,1982,18.959602
United States,1983,18.691843
United States,1984,19.479473
United States,1985,19.251648
United States,1986,19.117193
United States,1987,19.605087
United States,1988,20.334127
United States,1989,20.474892
